,town,country_string,eastings,country,region,longitude,uk_region,postcode,latitude,northings
2558,SHADOXHURST,England,596400,ENG,Kent,0.80547,South East England,TN26,51.09988,137200
2559,SMARDEN,England,589200,ENG,Kent,0.70642,South East England,TN27,51.16519,144200
2560,NEW ROMNEY,England,607200,ENG,Kent,0.95226,South East England,TN28,50.98202,124500
2561,ST MARY IN THE MARSH,England,605900,ENG,Kent,0.93444,South East England,TN29,50.99327,125700
2562,ROYAL TUNBRIDGE WELLS,England,557600,ENG,Kent,0.25227,South East England,TN3,51.12265,138400
2563,TENTERDEN,England,589000,ENG,Kent,0.69753,South East England,TN30,51.06195,132700
2564,PEASMARSH,England,588700,ENG,East Sussex,0.68748,South East England,TN31,50.96233,121600
2565,SALEHURST,England,574800,ENG,East Sussex,0.4904,South East England,TN32,50.9793,123000
2566,BATTLE,England,574100,ENG,East Sussex,0.47676,South East England,TN33,50.91032,115300
2567,HASTINGS,England,581800,ENG,East Sussex,0.58374,South East England,TN34,50.86393,110400
2568,HASTINGS,England,583800,ENG,East Sussex,0.61309,South East England,TN35,50.88036,112300
2569,ICKLESHAM,England,589900,ENG,East Sussex,0.70216,South East England,TN36,50.92061,117000
2570,HASTINGS,England,580000,ENG,East Sussex,0.55858,South East England,TN37,50.87168,111200
2571,HASTINGS,England,579100,ENG,East Sussex,0.54531,South East England,TN38,50.86297,110200
2572,BEXHILL,England,572800,ENG,East Sussex,0.45488,South East England,TN39,50.84602,108100
2573,ROYAL TUNBRIDGE WELLS,England,558000,ENG,Kent,0.25912,South East England,TN4,51.1459,141000
2574,BEXHILL,England,574900,ENG,East Sussex,0.48463,South East England,TN40,50.84449,108000
2575,WADHURST,England,565500,ENG,East Sussex,0.36223,South East England,TN5,51.06471,132200
2576,CROWBOROUGH,England,552400,ENG,East Sussex,0.17464,South East England,TN6,51.05216,130400
2577,HARTFIELD,England,547700,ENG,East Sussex,0.10938,South East England,TN7,51.09204,134700
2578,EDENBRIDGE,England,545300,ENG,Kent,0.07969,South East England,TN8,51.1942,146000
2579,TONBRIDGE,England,559100,ENG,Kent,0.27705,South East England,TN9,51.19053,146000
